,location_key,date,country_name,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,cumulative_vaccine_doses_administered,population,population_density,human_development_index,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_usd,gdp_per_capita_usd,infant_mortality_rate,nurses_per_1000,physicians_per_1000,average_temperature_celsius,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate
367,AR,2021-01-02,Argentina,7767.0,166.0,1670634.0,46688.0,20334.0,44938712.0,16.515,0.825,5777148.0,4507125.0,3911943.0,2914251.0,1817557.0,994030.0,449663446954.0,10006.0,8.8,2.5996,3.9901,27.740741,147.086,79.483,26.6,15.8
368,AR,2021-01-03,Argentina,4934.0,157.0,1675568.0,46845.0,20529.0,44938712.0,16.515,0.825,5777148.0,4507125.0,3911943.0,2914251.0,1817557.0,994030.0,449663446954.0,10006.0,8.8,2.5996,3.9901,21.95679,147.086,79.483,26.6,15.8
369,AR,2021-01-04,Argentina,13953.0,157.0,1689521.0,47002.0,25164.0,44938712.0,16.515,0.825,5777148.0,4507125.0,3911943.0,2914251.0,1817557.0,994030.0,449663446954.0,10006.0,8.8,2.5996,3.9901,24.894444,147.086,79.483,26.6,15.8
370,AR,2021-01-05,Argentina,14085.0,160.0,1703606.0,47162.0,29852.0,44938712.0,16.515,0.825,5777148.0,4507125.0,3911943.0,2914251.0,1817557.0,994030.0,449663446954.0,10006.0,8.8,2.5996,3.9901,20.104938,147.086,79.483,26.6,15.8
371,AR,2021-01-06,Argentina,14496.0,131.0,1718102.0,47293.0,34162.0,44938712.0,16.515,0.825,5777148.0,4507125.0,3911943.0,2914251.0,1817557.0,994030.0,449663446954.0,10006.0,8.8,2.5996,3.9901,20.919753,147.086,79.483,26.6,15.8
372,AR,2021-01-07,Argentina,13722.0,160.0,1731824.0,47453.0,42092.0,44938712.0,16.515,0.825,5777148.0,4507125.0,3911943.0,2914251.0,1817557.0,994030.0,449663446954.0,10006.0,8.8,2.5996,3.9901,25.122222,147.086,79.483,26.6,15.8
373,AR,2021-01-08,Argentina,13932.0,162.0,1745756.0,47615.0,54090.0,44938712.0,16.515,0.825,5777148.0,4507125.0,3911943.0,2914251.0,1817557.0,994030.0,449663446954.0,10006.0,8.8,2.5996,3.9901,22.833333,147.086,79.483,26.6,15.8
374,AR,2021-01-09,Argentina,9959.0,158.0,1755715.0,47773.0,58552.0,44938712.0,16.515,0.825,5777148.0,4507125.0,3911943.0,2914251.0,1817557.0,994030.0,449663446954.0,10006.0,8.8,2.5996,3.9901,22.728395,147.086,79.483,26.6,15.8
375,AR,2021-01-10,Argentina,5174.0,165.0,1760889.0,47938.0,59043.0,44938712.0,16.515,0.825,5777148.0,4507125.0,3911943.0,2914251.0,1817557.0,994030.0,449663446954.0,10006.0,8.8,2.5996,3.9901,25.895062,147.086,79.483,26.6,15.8
376,AR,2021-01-11,Argentina,13076.0,170.0,1773965.0,48108.0,67496.0,44938712.0,16.515,0.825,5777148.0,4507125.0,3911943.0,2914251.0,1817557.0,994030.0,449663446954.0,10006.0,8.8,2.5996,3.9901,22.822222,147.086,79.483,26.6,15.8
377,AR,2021-01-12,Argentina,12787.0,172.0,1786752.0,48280.0,75681.0,44938712.0,16.515,0.825,5777148.0,4507125.0,3911943.0,2914251.0,1817557.0,994030.0,449663446954.0,10006.0,8.8,2.5996,3.9901,20.866667,147.086,79.483,26.6,15.8
378,AR,2021-01-13,Argentina,13374.0,155.0,1800126.0,48435.0,82837.0,44938712.0,16.515,0.825,5777148.0,4507125.0,3911943.0,2914251.0,1817557.0,994030.0,449663446954.0,10006.0,8.8,2.5996,3.9901,23.622222,147.086,79.483,26.6,15.8
379,AR,2021-01-14,Argentina,12131.0,149.0,1812257.0,48584.0,89912.0,44938712.0,16.515,0.825,5777148.0,4507125.0,3911943.0,2914251.0,1817557.0,994030.0,449663446954.0,10006.0,8.8,2.5996,3.9901,25.244444,147.086,79.483,26.6,15.8
380,AR,2021-01-15,Argentina,11384.0,191.0,1823641.0,48775.0,97355.0,44938712.0,16.515,0.825,5777148.0,4507125.0,3911943.0,2914251.0,1817557.0,994030.0,449663446954.0,10006.0,8.8,2.5996,3.9901,24.135802,147.086,79.483,26.6,15.8
381,AR,2021-01-16,Argentina,8426.0,174.0,1832067.0,48949.0,99874.0,44938712.0,16.515,0.825,5777148.0,4507125.0,3911943.0,2914251.0,1817557.0,994030.0,449663446954.0,10006.0,8.8,2.5996,3.9901,20.777778,147.086,79.483,26.6,15.8
382,AR,2021-01-17,Argentina,4951.0,180.0,1837018.0,49129.0,100339.0,44938712.0,16.515,0.825,5777148.0,4507125.0,3911943.0,2914251.0,1817557.0,994030.0,449663446954.0,10006.0,8.8,2.5996,3.9901,21.011111,147.086,79.483,26.6,15.8
383,AR,2021-01-18,Argentina,12019.0,186.0,1849037.0,49315.0,104504.0,44938712.0,16.515,0.825,5777148.0,4507125.0,3911943.0,2914251.0,1817557.0,994030.0,449663446954.0,10006.0,8.8,2.5996,3.9901,23.666667,147.086,79.483,26.6,15.8
384,AR,2021-01-19,Argentina,12038.0,170.0,1861075.0,49485.0,110155.0,44938712.0,16.515,0.825,5777148.0,4507125.0,3911943.0,2914251.0,1817557.0,994030.0,449663446954.0,10006.0,8.8,2.5996,3.9901,24.922222,147.086,79.483,26.6,15.8
385,AR,2021-01-20,Argentina,11380.0,194.0,1872455.0,49679.0,118646.0,44938712.0,16.515,0.825,5777148.0,4507125.0,3911943.0,2914251.0,1817557.0,994030.0,449663446954.0,10006.0,8.8,2.5996,3.9901,24.246914,147.086,79.483,26.6,15.8
386,AR,2021-01-21,Argentina,10402.0,219.0,1882857.0,49898.0,124635.0,44938712.0,16.515,0.825,5777148.0,4507125.0,3911943.0,2914251.0,1817557.0,994030.0,449663446954.0,10006.0,8.8,2.5996,3.9901,25.729167,147.086,79.483,26.6,15.8
387,AR,2021-01-22,Argentina,9964.0,184.0,1892821.0,50082.0,128560.0,44938712.0,16.515,0.825,5777148.0,4507125.0,3911943.0,2914251.0,1817557.0,994030.0,449663446954.0,10006.0,8.8,2.5996,3.9901,27.083333,147.086,79.483,26.6,15.8
388,AR,2021-01-23,Argentina,6677.0,176.0,1899498.0,50258.0,130257.0,44938712.0,16.515,0.825,5777148.0,4507125.0,3911943.0,2914251.0,1817557.0,994030.0,449663446954.0,10006.0,8.8,2.5996,3.9901,28.388889,147.086,79.483,26.6,15.8
389,AR,2021-01-24,Argentina,3770.0,192.0,1903268.0,50450.0,130385.0,44938712.0,16.515,0.825,5777148.0,4507125.0,3911943.0,2914251.0,1817557.0,994030.0,449663446954.0,10006.0,8.8,2.5996,3.9901,27.993827,147.086,79.483,26.6,15.8
